NAME,EDUCATION,AWARDS
Chris Lattner,University of Portland@University of Illinois at Urbana-Champaign,2
Edward D. Lazowska,Brown University@University of Toronto,0
Manny M Lehman,Imperial College London,3
Charles E. Leiserson,Carnegie Mellon University@Yale University,0
Yann LeCun,ESIEE Paris@MS@Pierre and Marie Curie University@PhD,3
Rasmus Lerdorf,University of Waterloo,0
Leonid Levin,Moscow University@Massachusetts Institute of Technology,1
Kevin Leyton-Brown,McMaster University@Stanford University,0
Jochen Liedtke,Bielefeld University@Technical University of Berlin,0
John Lions,University of Sydney@University of Cambridge,0
Richard J. Lipton,Carnegie Mellon,1
Barbara Liskov,University of California Berkeley@Stanford University,3
Yanhong Annie Liu,Cornell University@Tsinghua University@Peking University,0
Darrell Long,San Diego State University@University of California San Diego,2
Patricia D. Lopez,New Mexico State University,0
Gillian Lovegrove,Newnham College Cambridge@Cambridge University,0
David Luckham,Ph.D.@MIT,0
Nancy Lynch,Brooklyn College@MIT,7
Nadia Magnenat Thalmann,University of Geneva@École Polytechnique Fédérale de Lausanne,0
James Martin (author),University of Oxford,2
Yuri Matiyasevich,Leningrad State University,2
Yukihiro Matsumoto,University of Tsukuba@Shimane University,0
John Mauchly,Johns Hopkins University,4
Ujjwal Maulik,Nabadwip Bakultala High School@Calcutta University@Jadavpur University,0
Derek McAuley,University of Cambridge,2
John McCarthy (computer scientist),Princeton University@California Institute of Technology,6
Andrew McCallum,Dartmouth College@University of Rochester@[2],0
Douglas McIlroy,Cornell University@Massachusetts Institute of Technology,0
Kurt Mehlhorn,Cornell University@[2],4
Bertrand Meyer,Université de Nancy@Stanford University@École Polytechnique,0
Silvio Micali,La Sapienza University of Rome@UC Berkeley,4
Jack Minker,Brooklyn College@University of Wisconsin@University of Pennsylvania,3
James G. Mitchell,University of Waterloo@Carnegie Mellon University,1
Tom M. Mitchell,Stanford University@Massachusetts Institute of Technology,2
Paul Mockapetris,Massachusetts Institute of Technology@University of California at Irvine,4
Cleve Moler,California Institute of Technology@Stanford University,2
Faron Moller,University of British Columbia@University of Waterloo@University of Edinburgh,0
Edward F. Moore,Virginia Tech@Brown University,0
Roger Moore (computer scientist),Stanford University,2
Hans Moravec,Acadia University@[1]@University of Western Ontario@[1]@Stanford University@[1],0
Rajeev Motwani,IIT Kanpur@B.Tech@C.S.@UC Berkeley@Ph.D.@C.S.,1
Stephen Muggleton,University of Edinburgh,5
Klaus-Robert M%C3%BCller,University of Karlsruhe@Diplom@University of Karlsruhe,1
Alan Mycroft,University of Cambridge@University of Edinburgh,0
Brad A. Myers,University of Toronto@Massachusetts Institute of Technology,4
Makoto Nagao,Kyoto University,6
Roger Needham,University of Cambridge,1
Allen Newell,Stanford University@Princeton University@Carnegie Mellon University,5
Max Newman,St John's College Cambridge,4
Andrew Ng,University of California Berkeley@Massachusetts Institute of Technology@Carnegie Mellon University,10
Nils John Nilsson,Stanford University,0
Maurice Nivat,Joseph Fourier University,7
Jerre Noe,UC Berkeley@Stanford University,0
Peter Nordin,University of Dortmund@Chalmers University of Technology@Göteborg University,0
Donald Norman,MIT@University of Pennsylvania,0
Peter Norvig,Brown University@University of California Berkeley,3
George Novacky,University of Pittsburgh,0
Martin Odersky,Ludwig Maximilian University of Munich@ETH Zurich,0
Peter O%27Hearn,Dalhousie University@Queen's University,16
Mark Overmars,Utrecht University,0
Susan Owicki,Cornell University,0
Sankar Pal,Rajabazar Science College@University of Calcutta@Indian Statistical Institute@Imperial College London,2
David Patterson (computer scientist),University of California Los Angeles,9
Mihai P%C4%83tra%C8%99cu (computer scientist),Massachusetts Institute of Technology,0
Lawrence Paulson,California Institute of Technology@Stanford University,2
Randy Pausch,Brown University@Carnegie Mellon University,5
Juan Pav%C3%B3n,Technical University of Madrid@Université Pierre et Marie Curie,0
Judea Pearl,Technion – Israel Institute of Technology@New Jersey Institute of Technology@Rutgers University@New York University Tandon School of Engineering,7
Alan Perlis,Chemistry@Carnegie Mellon@MIT,2
Radia Perlman,MIT,0
Simon Peyton Jones,University of Cambridge,2
Keshav K Pingali,IIT Kanpur@MIT,3
Gordon Plotkin,University of Glasgow@University of Edinburgh,3
Cicely Popplewell,University of Cambridge,0
Emil Post,City College of New York@[1]@Columbia University@[2],0
Franco Preparata,University of Rome,1
William H. Press,Harvard University@California Institute of Technology,0
Grzegorz Rozenberg,Polish Academy of Sciences,0
Michael O. Rabin,Hebrew University of Jerusalem@MSc@University of Pennsylvania@Princeton University@PhD,10
Brian Randell,Imperial College London,0
Anders P. Ravn,University of Copenhagen@Technical University of Denmark,1
Raj Reddy,University of Madras@BE@University of New South Wales@MTech@Stanford University@PhD,4
David P. Reed,MIT,0
Joyce K. Reynolds,University of Southern California,0
Martin Richards (computer scientist),University of Cambridge,0
C. J. van Rijsbergen,University of Western Australia@University of Cambridge,0
Dennis Ritchie,Harvard University@BS,10
Ron Rivest,Stanford University@Yale University,5
Ken Robinson (computer scientist),University of Sydney,1
Guido van Rossum,University of Amsterdam,1
Jeff Rulifson,University of Washington@Stanford University,0
George Sadowsky,Harvard University,0
Mehrnoosh Sadrzadeh,Université du Québec à Montréal@Sharif University of Technology,0
Jean E. Sammet,Mount Holyoke College@B.A.@University of Illinois at Urbana Champaign@M.A.@Columbia University,2
Carl Sassenrath,University of California Davis,0
Mahadev Satyanarayanan,Carnegie Mellon University (Ph.D.)@IIT Madras (M.Tech. B.Tech.),5
Walter Savitch,University of California Berkeley,0
Jonathan Schaeffer,University of Waterloo@University of Toronto,2
J%C3%BCrgen Schmidhuber,Technical University of Munich,0
Steve Schneider (computer scientist),University of Oxford,0
Bruce Schneier,American University@University of Rochester,0
Fred B. Schneider,Stony Brook University,1
Sarita Schoenebeck,Georgia Institute of Technology@University of California Berkeley@Dartmouth College,0
Bernhard Sch%C3%B6lkopf,University of London@University of Tübingen@TU Berlin,6
Robert Sedgewick (computer scientist),Brown University,2
Ravi Sethi,Indian Institute of Technology Kanpur@Princeton University,0
Nigel Shadbolt,Newcastle University@University of Edinburgh,1
Adi Shamir,Tel Aviv University@Weizmann Institute of Science,7
Claude Shannon,University of Michigan@AB@BS@Massachusetts Institute of Technology@MS@PhD,10
Scott Shenker,Brown University@University of Chicago,5
Ben Shneiderman,City College of New York@Stony Brook University,1
Joseph Sifakis,National Technical University of Athens@University of Grenoble,2
Munindar P. Singh,University of Texas at Austin@Indian Institute of Technology Delhi,6
Ramesh Sitaraman,Indian Institute of Technology Madras@[2]@Princeton University@[2],0
Daniel Sleator,University of Illinois at Urbana–Champaign@Stanford University,1
Brian Cantwell Smith,MIT,0
David Canfield Smith,Oberlin College@Stanford University,0
Carol Spradling,University of Nebraska - Lincoln,0
Rohini Kesavan Srihari,University of Waterloo@University at Buffalo,0
Sargur Srihari,Bangalore University@Indian Institute of Science@Ohio State University,2
Richard E. Stearns,Carleton College@Princeton University,3
Thomas Sterling (computing),Old Dominion University@Massachusetts Institute of Technology,6
W. Richard Stevens,University of Michigan@University of Arizona,0
Michael Stonebraker,Princeton University@University of Michigan,2
Christopher Strachey,University of Cambridge,0
Volker Strassen,University of Göttingen,0
Bjarne Stroustrup,Aarhus University@Cand.scient.@University of Cambridge@PhD,11
Madhu Sudan,IIT Delhi@University of California Berkeley,1
Bert Sutherland,RPI@MIT,1
Ivan Sutherland,MIT@Caltech@Carnegie Institute of Technology,8
Mario Szegedy,University of Chicago,1
Andrew S. Tanenbaum,Massachusetts Institute of Technology@University of California Berkeley,0
Austin Tate,Lancaster University@University of Edinburgh,1
Bernhard Thalheim,Dresden University of Technology@Lomonosov Moscow State University,2
%C3%89va Tardos,Eötvös Loránd University,5
G%C3%A1bor Tardos,Eötvös Loránd University,4
Robert Tarjan,California Institute of Technology@BS@Stanford University@MS@PhD,3
Shang-Hua Teng,Shanghai Jiao Tong University@University of Southern California@Carnegie Mellon,4
Larry Tesler,Stanford University,0
Charles P. Thacker,University of California Berkeley,6
Daniel Thalmann,University of Geneva,1
Ken Thompson,University of California Berkeley,11
Sebastian Thrun,University of Bonn@University of Hildesheim,3
Walter F. Tichy,Technische Universität München@Carnegie Mellon University,0
Chai Keong Toh,University of Cambridge@University of Manchester,8
Linus Torvalds,University of Helsinki@[1],0
Gloria Townsend,Indiana University,1
John Tukey,Brown University@Princeton University,7
Alan Turing,University of Cambridge@BA@MA@Princeton University,1
Murray Turoff,University of California - Berkeley@Brandeis University,1
Jeffrey D. Ullman,Columbia University@Princeton University,3
Leslie Valiant,University of Cambridge@Imperial College London@University of Warwick,6
Vladimir Vapnik,Institute of Control Sciences Russian Academy of Sciences@Uzbek State University,11
Moshe Vardi,Bar-Ilan University@Weizmann Institute of Science@[4]@Hebrew University of Jerusalem,8
Umesh Vazirani,MIT@University of California Berkeley,1
Manuela M. Veloso,Instituto Superior Técnico@University of Lisbon@Boston University@Carnegie Mellon University,4
Sergiy Vilkomir,Kharkov State University@Kharkov Polytechnic Institute,2
Paul Vitanyi,Delft University of Technology@Free University of Amsterdam,0
Paul Vixie,Keio University,0
David Waltz,Massachusetts Institute of Technology,2
James Z. Wang,Stanford University@M.S.@M.S.@Ph.D.@University of Minnesota@B.S.,0
Manfred K. Warmuth,University of Colorado Boulder,1
David H. D. Warren,University of Edinburgh,0
Kevin Warwick,Aston University@Imperial College London,5
Jan Weglarz,Poznań University of Technology,0
Philip Wadler,Stanford University@Carnegie Mellon University,4
Peter Wegner,[1],2
Peter J. Weinberger,University of California Berkeley,0
Mark Weiser,New College of Florida@University of Michigan@MA@PhD,0
Joseph Weizenbaum,Wayne State University,0
Jennifer Widom,Cornell University@Indiana University Jacobs School of Music,6
Gio Wiederhold,University of California San Francisco,3
Adriaan van Wijngaarden,Delft University of Technology,1
Mary Allen Wilkes,Wellesley College@Harvard Law School,0
Maurice Vincent Wilkes,University of Cambridge,6
Yorick Wilks,University of Cambridge,0
James H. Wilkinson,Trinity College Cambridge,4
Shmuel Winograd,New York University@Massachusetts Institute of Technology,0
Terry Winograd,Colorado College@Massachusetts Institute of Technology,1
Patrick Winston,MIT@[1],1
Neil Wiseman,University of Cambridge@University of Illinois@Queen Mary College,0
Stephen Wolfram,St. John's College Oxford@California Institute of Technology,1
Mike Woodger,University College London,0
Philip Woodward,Oxford University,6
Beatrice Helen Worsley,University of Toronto@Massachusetts Institute of Technology@University of Cambridge,0
Mihalis Yannakakis,National Technical University of Athens@Princeton University,1
Andrew Chi-Chih Yao,National Taiwan University@Harvard University@University of Illinois at Urbana–Champaign,4
John Yen,University of California Berkeley@Santa Clara University@National Taiwan University@National Hsinchu Senior High School,3
Edward Yourdon,Massachusetts Institute of Technology,0
Moti Yung,Columbia University,6
Lotfi Zadeh,University of Tehran@Massachusetts Institute of Technology@Columbia University,15
Arif Zaman,Stanford University@[2]@Harvey Mudd College@Claremont Graduate University,0
Stanley Zdonik,Massachusetts Institute of Technology,0
Hussein Zedan,University of Bristol,0
Shlomo Zilberstein,University of California Berkeley@Technion – Israel Institute of Technology,0
Jill Zimmerman,Purdue University@University of Minnesota,0
Konrad Zuse,Technical University of Berlin,7
